slug,status,resolution,market_title,market_id,closed,endDate,resolutionSource,notes
will-trump-say-maga-4-or-more-times-during-his-inauguration-speech,RESOLVED,No,"Will Trump say ""MAGA"" 4 or more times during his inauguration speech?",513243,True,2025-02-03T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
nhl-tb-chi-2025-01-24,RESOLVED,Lightning,Lightning vs. Blackhawks,519941,True,2025-02-01T01:00:00Z,https://www.nhl.com/,
will-hillary-clinton-win-the-popular-vote-in-the-2024-presidential-election,RESOLVED,No,Will Hillary Clinton win the popular vote in the 2024 Presidential Election?,253731,True,2024-11-05T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-kaito-onishi-be-the-first-round-leader-at-the-2025-wyndham-championship,RESOLVED,No,Will Kaito Onishi be the first round leader at the 2025 Wyndham Championship?,569006,True,2025-08-01T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
solana-up-or-down-july-13-5pm-et,RESOLVED,Down,"Solana Up or Down - July 13, 5PM ET",562427,True,2025-07-13T22:00:00Z,https://www.binance.com/en/trade/SOL_USDT,
will-lennert-van-eetvelt-finish-in-the-top-10-at-the-2025-tour-de-france,RESOLVED,No,Will Lennert Van Eetvelt finish in the top 10 at the 2025 Tour de France?,558873,True,2025-07-27T00:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
will-taylor-moore-win-the-2025-pga-tour-rocket-classic,RESOLVED,No,Will Taylor Moore win the 2025 PGA TOUR Rocket Classic?,554821,True,2025-06-30T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-basedapp-daily-builder-revenue-hit-200k-in-2025,RESOLVED,Yes,Will BasedApp daily builder revenue hit $200k in 2025?,592544,True,2026-01-01T05:00:00Z,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,
btc-multistrike-4h-1757678400-113k,RESOLVED,Yes,"Will the price of Bitcoin be above $113,000 on September 12 at 8AM ET?",594725,True,2025-09-12T12:00:00Z,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,
eth-up-or-down-15m-1759112100,RESOLVED,Up,"Ethereum Up or Down - September 28, 10:15PM-10:30PM ET",616596,True,2025-09-29T02:30:00Z,https://data.chain.link/streams/eth-usd,
eth-up-or-down-15m-1758915900,RESOLVED,Up,"Ethereum Up or Down - September 26, 3:45PM-4:00PM ET",614054,True,2025-09-26T20:00:00Z,https://data.chain.link/streams/eth-usd,
russell-vought-confirmed-as-omb-director,RESOLVED,Yes,Russell Vought confirmed as OMB Director?,518651,True,2025-06-30T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
nhl-van-las-2023-03-21,RESOLVED,Golden Knights,NHL: Vancouver Canucks vs. Vegas Golden Knights 2023-03-21,249434,True,2023-03-21T00:00:00Z,https://www.nhl.com/,
mlb-mia-col-2025-09-18,RESOLVED,Marlins,Marlins vs. Rockies,601321,True,2025-09-25T19:10:00Z,https://www.mlb.com/,
will-trump-say-ship-during-carney-visit-on-may-6,RESOLVED,Yes,"Will Trump say ""Ship"" during Carney visit on May 6?",541034,True,2025-05-06T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
eth-multistrike-4h-1756771200-4350,RESOLVED,No,"Will the price of Ethereum be above $4,350 on September 1 at 8PM ET?",585276,True,2025-09-02T00:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
xrp-up-or-down-august-23-3pm-et,RESOLVED,Up,"XRP Up or Down - August 23, 3PM ET",579234,True,2025-08-23T20:00:00Z,https://www.binance.com/en/trade/XRP_USDT,
cbb-lmu-port-2025-02-15,RESOLVED,Portland,Loyola Marymount vs. Portland,523623,True,2025-02-23T03:00:00Z,https://www.ncaa.com/,
